"Month-avg",2017,2018,2019,2020
1,6994947.67,7733497.33999999,7552060.83000001,7091132.00999999
2,6418839.3,6747991.14000002,6505218.9,6630634.56999999
3,7272771.75,6968721.10999999,7229240.25000001,6740187.10999999
4,6463712.76999999,6788757.81999999,6517673.16,6459045.12
5,7468753.23000001,7561986.94,7390375.03000001,7314755.56999998
6,7886218.29000002,7941725.83,7778613.51,7761612.45
7,8046374.39,8073914.20999999,7995784.22000001,8205803.03000001
8,8032303.51,7884423.26999999,7927097.78,7655584.14999999
9,7169975.11,6978710.68000001,6977245.44,6510414.64
